id,user_id,source_channel_id,telegram_message_id,asin,supplier_price,moq,is_ready_to_ship,raw_message_text,message_date,created_at,supplier,image_url,amazon_title,buy_box_price,amazon_rating,review_count,bestseller_rank,category,calculated_profit,calculated_roi,calculated_margin,profit_score,enrichment_status,enriched_at,seller_name,is_sold_by_amazon,is_fulfilled_by_amazon,estimated_monthly_sales,estimated_90_day_sales,product_weight_lbs,product_length_inches,product_width_inches,product_height_inches,estimated_shipping_cost,shipping_method,is_bad_opportunity,opportunity_reason,net_profit_after_shipping,total_cost_per_unit,enrichment_error,supplier_id,telegram_message_fk,seller_account_id,is_fba,inbound_shipping_per_unit,gross_profit_per_unit,fees_total
1696,20580d15-b4db-4a7b-8ff5-fbbff19f606e,-1001470748541,19806,B0D26VLX8C,16,300,true,"https://www.amazon.com/DP/B0D26VLX8C?th=1

$16
600 available 
MOQ 300 
BSR 50k (1%)
39.50% ROI",2025-11-28 20:17:47+00,2025-11-28 22:19:42.863845+00,💎 DenariusBlack.com 💎,https://m.media-amazon.com/images/I/618z1dwoXTL._AC_SL1000_.jpg,Granite Ware Open Roasting Pan with Flat Rack (Speckled Black) - Accommodates up to 25 lb poultry or roast. A- Rectangular Roaster w/rack 19 x12 x2.7 in.,41.71,4.10,131,,Home & Kitchen,4.45,27.83,10.68,36,enriched,2025-11-28 22:25:35.60007+00,,false,true,65,195,4.09,,,,15.00,FBA Inbound,false,,4.45,37.26,,2643bb58-a58c-4494-8d6e-9418b3e79096,122,,true,,,
1697,20580d15-b4db-4a7b-8ff5-fbbff19f606e,-1001470748541,19805,B09F74ZSYK,4,900,true,"https://www.amazon.com/DP/B09F74ZSYK

$4
1800 available 
MOQ 900 
BSR 45k (1%)
30.00% ROI",2025-11-28 17:43:09+00,2025-11-28 22:19:42.863845+00,💎 DenariusBlack.com 💎,https://m.media-amazon.com/images/I/71Ey8-QQWBL._AC_SL1500_.jpg,"Centrum Multivitamin for Women, Multivitamin/Multimineral Supplement with Iron, Vitamin D3, B Vitamins and Antioxidant Vitamins C and E, Gluten Free, Non-GMO Ingredients - 65 Count",9.34,4.50,27,45068,"Health, Household & Baby Care",-0.31,-7.77,-3.33,0,enriched,2025-11-28 22:25:41.19037+00,,true,true,20,60,,,,,0.75,FBA Inbound,true,Sold by Amazon - high competition,-0.31,9.65,,2643bb58-a58c-4494-8d6e-9418b3e79096,46,,true,,,
1698,20580d15-b4db-4a7b-8ff5-fbbff19f606e,-1001470748541,19804,B0CDZMLC4S,27,100,true,"https://www.amazon.com/Slim-Mint-Ultra-Thin-RFID-Blocking-Crush-Resistant/dp/B0CDZMLC4S/?th=1

$27
MOQ 100 
BSR 219k (1%)
33.15% ROI 
Monthly Sales 100+",2025-11-28 17:32:17+00,2025-11-28 22:19:42.863845+00,💎 DenariusBlack.com 💎,https://m.media-amazon.com/images/I/51PBoE-tdsL._AC_SL1000_.jpg,"Slim Mint Wallet, Ultra-Thin, RFID-Blocking, AS-SEEN-ON-TV, ID Theft Protection, Easy to Carry, Reach Cards/Cash with the Touch of a Button, Optimizes Space, Aluminum Outer Shell, Crush-Resistant, 2PK 4 in. Black",47.99,4.00,231,,Home & Kitchen,5.29,19.60,11.03,32,enriched,2025-11-28 22:25:46.995433+00,,false,true,115,345,,0.75,2.85,4.35,8.50,FBA Inbound,false,,5.29,42.70,,2643bb58-a58c-4494-8d6e-9418b3e79096,222,,true,,,
1699,20580d15-b4db-4a7b-8ff5-fbbff19f606e,-1001470748541,19803,B01MZZ0UCI,7,700,false,"https://www.amazon.com/dp/B01MZZ0UCI?th=1

$7
MOQ 700
BSR 13k (1%)
55.71% ROI",2025-11-28 17:11:27+00,2025-11-28 22:19:42.863845+00,💎 DenariusBlack.com 💎,https://m.media-amazon.com/images/I/81VCf6fhF5L._SL1500_.jpg,"Maybelline Color Sensational Inti-Matte Nudes Lipstick, Honey Pink, 0.15 oz. Honey Pink 0.26 Fl Oz (Pack of 1)",,4.30,45062,11599,Beauty & Personal Care,,,,,failed,2025-11-29 05:27:29.557783+00,,false,true,24,72,,0.85,0.85,2.93,0.75,FBA Inbound,true,Low profit margin (0.0%); Low sales velocity (24 units/month),,,Unexpected error: cannot access local variable 'total_amazon_fees' where it is not associated with a value,2643bb58-a58c-4494-8d6e-9418b3e79096,190,,true,,,
1700,20580d15-b4db-4a7b-8ff5-fbbff19f606e,-1001470748541,19802,B07VFP2VS3,10,,true,"https://www.amazon.com/STARBUCKS-VERANDA-INSTANT-CAFFEINE-PACKETS/dp/B07VFP2VS3

$10 
9000 available 
BSR 49k (2%)
43.40% ROI 
EXP 11/26",2025-11-28 02:16:11+00,2025-11-28 22:19:42.863845+00,💎 DenariusBlack.com 💎,https://m.media-amazon.com/images/I/71K9arQHbCL._SL1500_.jpg,STARBUCKS VIA VERANDA BLEND MIX INSTANT COFFEE CAFFEINE PACKETS IN BOX 1.4 OZ - 0762111953321,21.48,4.40,59,56751,Grocery & Gourmet Food,4.01,40.08,18.66,58,enriched,2025-11-28 22:25:57.112159+00,,false,true,19,57,,6.26,3.35,1.18,0.75,FBA Inbound,false,,4.01,17.47,,2643bb58-a58c-4494-8d6e-9418b3e79096,204,,true,,,
1701,20580d15-b4db-4a7b-8ff5-fbbff19f606e,-1001470748541,19801,B00005UP2K,222,100,false,"https://www.amazon.com/dp/B00005UP2K?ref=undefined&th=1

$222
MOQ 100
BSR 64 (1%)
25.51% ROI 
Monthly Sales 800+",2025-11-28 02:10:26+00,2025-11-28 22:19:42.863845+00,💎 DenariusBlack.com 💎,https://m.media-amazon.com/images/I/71hNoU5FYuL._AC_SL1500_.jpg,"KitchenAid Artisan Series 5 Quart Tilt Head Stand Mixer with Pouring Shield KSM150PS, White",349.95,4.70,16467,,Home & Kitchen,68.46,30.84,19.56,68,enriched,2025-11-28 22:26:03.679284+00,,true,true,8233,24699,22.80,,,,2.00,FBA Inbound,true,Sold by Amazon - high competition,68.46,281.49,,2643bb58-a58c-4494-8d6e-9418b3e79096,229,,true,,,
1702,20580d15-b4db-4a7b-8ff5-fbbff19f606e,-1001470748541,19800,B086DFCS7Y,25.5,500,false,"https://www.amazon.com/NutriBullet-NBY-50100-Nutribullet-Baby-18-Piece/dp/B086DFCS7Y/?th=1

$25.50 
MOQ 500
BSR 959 (1%)
26.63% ROI 
Monthly Sales 8k+",2025-11-27 15:21:25+00,2025-11-28 22:19:42.863845+00,💎 DenariusBlack.com 💎,https://m.media-amazon.com/images/I/614bM9yRiXL._AC_SL1500_.jpg,"NutriBullet NBY-50100 Baby Complete Food-Making System, 32-Oz, White, Blue, Clear 32-oz.",47.99,4.70,14173,,Home & Kitchen,9.29,36.44,19.36,58,enriched,2025-11-28 22:26:10.488105+00,,true,true,7086,21258,4.55,,,,1.00,FBA Inbound,true,Sold by Amazon - high competition,9.29,38.70,,2643bb58-a58c-4494-8d6e-9418b3e79096,38,,true,,,
1703,20580d15-b4db-4a7b-8ff5-fbbff19f606e,-1001470748541,19797,B09P2QJKLW,46,,true,"https://www.amazon.com/Artist-Digital-Curling-Long-Lasting-Defined/dp/B09P2QJKLW/?th=1

$46
600 available 
BSR 21k (1%)
34.24% ROI",2025-11-26 22:00:40+00,2025-11-28 22:19:42.863845+00,💎 DenariusBlack.com 💎,https://m.media-amazon.com/images/I/51wZAIO8Z8L._SL1500_.jpg,"Hot Tools Pro Artist Black Gold Digital Salon Hair Curling Iron | Medium Loose Curls and Tousled Waves, (1-1/4 inch) 1-1/4 Inch BARREL HAIR_IRON",76.47,4.40,984,20456,Beauty & Personal Care,14.75,32.06,19.29,57,enriched,2025-11-28 22:26:16.649796+00,,true,true,22,66,,108.00,108.00,108.00,0.75,FBA Inbound,true,Sold by Amazon - high competition,14.75,61.72,,2643bb58-a58c-4494-8d6e-9418b3e79096,8,,true,,,
1704,20580d15-b4db-4a7b-8ff5-fbbff19f606e,-1001470748541,19796,B0001YXFFM,7.5,300,true,"https://www.amazon.com/DP/B0001YXFFM/ref

$7.50 
600 available 
MOQ 300 
BSR 109k (1%)
34.93% ROI",2025-11-26 21:58:06+00,2025-11-28 22:19:42.863845+00,💎 DenariusBlack.com 💎,https://m.media-amazon.com/images/I/71Jf8PGbmtL._AC_SL1500_.jpg,"Honeywell UVEX Stealth Safety Goggles with Clear Uvextreme Anti-Fog Lens, Gray Body & Neoprene Headband (S3960C), Universal",17.60,4.50,7318,,Tools & Home Improvement,-1.04,-13.87,-5.91,0,enriched,2025-11-28 22:26:22.721794+00,,false,true,3659,10977,,8.00,4.00,4.00,8.50,FBA Inbound,true,Low profit margin (-5.9%),-1.04,18.64,,2643bb58-a58c-4494-8d6e-9418b3e79096,171,,true,,,
1705,20580d15-b4db-4a7b-8ff5-fbbff19f606e,-1001470748541,19795,B09D8QYHND,15,,true,"https://www.amazon.com/DP/B09D8QYHND?th=1

$15
125 available 
Take all 
30.33% ROI 
Monthly Sales 9k+",2025-11-26 21:53:25+00,2025-11-28 22:19:42.863845+00,💎 DenariusBlack.com 💎,https://m.media-amazon.com/images/I/81r9yYqc9jL._AC_SL1500_.jpg,"Hartz Delectables Stew Lickable Wet Cat Treats for Adult & Senior Cats, Variety Pack, 30 Count Variety 1.4 Ounce (Pack of 30)",31.97,4.70,17379,81,Pet Supplies,6.67,44.50,20.88,65,enriched,2025-11-28 22:26:30.223542+00,,true,true,1111,3333,2.60,6.88,5.38,5.31,1.00,FBA Inbound,true,Sold by Amazon - high competition,6.67,25.30,,2643bb58-a58c-4494-8d6e-9418b3e79096,182,,true,,,
